x,y,z,d
-0.06,0.1317781,0.36325443,0.20104675
-0.31,0.8317781,0.36325443,0.20114064
0.24,0.4817781,0.31325443,0.20149748
-0.41,-0.8182219,0.61325443,0.20230654
0.34,0.7317781,0.31325443,0.20269345
0.24,-0.1182219,0.26325443,0.202709
0.24,0.1317781,0.11325443,0.20314775
0.34,0.6317781,0.11325443,0.20428537
-0.01,-0.1182219,0.16325443,0.20445643
-0.31,-0.2682219,0.41325443,0.20656396
-0.21,0.5317781,0.31325443,0.2080621
-0.31,0.2317781,0.16325443,0.20966454
0.14,0.2317781,0.16325443,0.21010838
0.19,0.2817781,0.31325443,0.21047366
0.29,-0.9182219,0.61325443,0.21140382
-0.31,0.5817781,0.31325443,0.21312028
-0.21,-0.1182219,0.41325443,0.21372437
-0.11,-0.3682219,0.81325443,0.21486384
0.34,-0.8682219,0.76325443,0.21494913
0.09,-0.1182219,0.41325443,0.2151814
-0.21,-0.1182219,0.36325443,0.215606
0.09,-0.1682219,0.11325443,0.21600991
0.24,0.8817781,0.51325443,0.21662632
-0.21,0.6817781,0.31325443,0.21671098
0.04,0.9817781,0.11325443,0.21762893
-0.26,0.6817781,0.31325443,0.21879414
0.34,0.7317781,0.26325443,0.21952891
0.34,0.4817781,0.26325443,0.22064227
0.19,0.7317781,0.31325443,0.2212263
0.09,0.8817781,0.51325443,0.2214081
-0.01,0.1317781,0.41325443,0.22199948
-0.11,0.9317781,0.31325443,0.22203766
0.14,0.9817781,0.11325443,0.22365688
0.14,-0.9682219,0.61325443,0.22464614
0.19,0.7317781,0.16325443,0.225409
0.19,0.7317781,0.46325443,0.22589771
-0.36,-0.8182219,0.76325443,0.22602068
-0.11,0.6317781,0.31325443,0.22947958
0.34,0.6817781,0.41325443,0.23212028
0.24,0.1817781,0.11325443,0.23505662
0.34,0.6317781,0.31325443,0.235638
0.14,0.0317781,0.51325443,0.23576093
0.29,-0.2682219,0.41325443,0.23596688
0.19,-0.4682219,1.01325443,0.2373251
-0.21,0.7817781,0.46325443,0.23734418
-0.06,-0.9682219,0.61325443,0.23801973
-0.21,0.5317781,0.41325443,0.2386902
0.24,0.4317781,0.31325443,0.23918292
-0.26,0.7317781,0.36325443,0.239353
0.24,0.9317781,0.26325443,0.23940375
0.34,0.6817781,0.16325443,0.24009907
-0.06,0.7817781,0.56325443,0.24051112
-0.16,0.9817781,0.21325443,0.24211217
0.34,0.5817781,0.21325443,0.24316674
0.04,0.2317781,0.11325443,0.2435818
-0.21,0.7317781,0.46325443,0.24386507
0.14,0.2817781,0.31325443,0.24472824
-0.21,0.5817781,0.36325443,0.24472842
-0.31,0.4817781,0.31325443,0.24481964
-0.31,0.6817781,0.31325443,0.24493468
0.19,0.1317781,0.21325443,0.24499226
0.34,0.1817781,0.11325443,0.2449959
-0.06,0.2317781,0.11325443,0.24688047
0.34,0.5317781,0.21325443,0.24927947
0.29,-0.0182219,0.56325443,0.24984919
-0.06,0.8317781,0.51325443,0.25008273
0.44,-0.6682219,0.81325443,0.2517105
-0.26,-0.1182219,0.66325443,0.25256765
-0.11,0.6817781,0.26325443,0.25275558
-0.31,0.1817781,0.26325443,0.25325304
-0.21,-0.0682219,0.51325443,0.25453013
-0.26,-0.0682219,0.36325443,0.2546027
0.19,-0.9682219,0.71325443,0.2550264
0.29,0.7817781,0.16325443,0.25593716
0.19,0.5817781,0.36325443,0.2561027
0.29,0.8317781,0.11325443,0.25705835
-0.21,0.7317781,0.16325443,0.25748044
0.24,0.0817781,0.36325443,0.25766444
-0.16,0.6817781,0.41325443,0.25852174
0.14,-0.3182219,0.91325443,0.25902075
-0.21,-0.4682219,0.96325443,0.25934637
0.19,0.6317781,0.36325443,0.2596619
0.29,-0.1182219,0.66325443,0.26004583
0.34,0.6817781,0.36325443,0.26019615
-0.06,0.5317781,0.71325443,0.26128533
-0.21,0.6817781,0.26325443,0.26232487
-0.06,-0.8682219,0.61325443,0.26247305
-0.06,0.1317781,0.41325443,0.2626059
0.34,0.8817781,0.11325443,0.2633836
-0.31,0.5317781,0.31325443,0.2638586
-0.16,0.9317781,0.41325443,0.2638932
0.34,0.7817781,0.41325443,0.2645132
-0.11,-0.4682219,0.86325443,0.26469937
0.19,0.5317781,0.71325443,0.2648723
0.34,0.7317781,0.36325443,0.26515365
